Cluster,Ray
Ptr01,0.192576306
Ptr01,0.202281086
Ptr01,0.136273717
Ptr01,0.114514228
Ptr01,0.100628241
Ptr01,0.236419355
Ptr01,0.181601324
Ptr01,0.140858272
Ptr01,0.133126924
Ptr01,0.207817586
Ptr01,0.254639879
Ptr01,0.199464925
Ptr01,0.196977185
Ptr01,0.217313658
Ptr01,0.206629649
Ptr01,0.140980641
Ptr01,0.121978252
Ptr01,0.149837763
Ptr01,0.092687035
Ptr01,0.168272857
Ptr01,0.165923385
Ptr01,0.193699279
Ptr01,0.188022207
Ptr01,0.171803741
Ptr01,0.145556867
Ptr01,0.202635306
Ptr01,0.156916781
Ptr01,0.175002531
Ptr01,0.206848183
Ptr01,0.16449219
Ptr01,0.157554113
Ptr01,0.086680245
Ptr01,0.121582236
Ptr01,0.122311132
Ptr01,0.253476256
Ptr01,0.220200208
Ptr01,0.183208154
Ptr01,0.215060687
Ptr01,0.25682949
Ptr01,0.195249263
Ptr01,0.190467934
Ptr01,0.200179904
Ptr01,0.220916993
Ptr01,0.189399616
Ptr01,0.160454274
Ptr01,0.243836996
Ptr01,0.268416437
Ptr01,0.141391805
Ptr01,0.158377434
Ptr01,0.255278201
Ptr01,0.124389289
Ptr01,0.285041412
Ptr01,0.092838252
Ptr01,0.213649417
Ptr01,0.230372748
Ptr01,0.111175919
Ptr01,0.113931358
Ptr01,0.173245153
Ptr01,0.148145107
Ptr01,0.188019354
Ptr01,0.254936841
Ptr01,0.241327769
Ptr01,0.139331094
Ptr01,0.210699757
Ptr01,0.191003592
Ptr01,0.219724822
Ptr01,0.252736212
Ptr01,0.210819354
Ptr01,0.176330898
Ptr01,0.194620501
Ptr01,0.150615142
Ptr01,0.138803192
Ptr01,0.125555356
Ptr01,0.252526027
Ptr01,0.128952469
Ptr01,0.198619551
Ptr01,0.142816031
Ptr01,0.178254569
Ptr01,0.202136256
Ptr01,0.155868607
Ptr01,0.174928879
Ptr01,0.174085544
Ptr01,0.102350316
Ptr01,0.152042027
Ptr01,0.114440179
Ptr01,0.244642083
Ptr01,0.186082592
Ptr01,0.178157544
Ptr01,0.160094415
Ptr01,0.187882471
Ptr01,0.210745404
Ptr01,0.137380345
Ptr01,0.142477349
Ptr01,0.178303386
Ptr01,0.139666714
Ptr01,0.109386759
Ptr01,0.34846124
Ptr01,0.190310618
Ptr01,0.182309345
Ptr01,0.20745037
Ptr01,0.154663832
Ptr01,0.082837332
Ptr01,0.178871293
Ptr01,0.190017143
Ptr01,0.315143963
Ptr01,0.086039767
Ptr01,0.146322923
Ptr01,0.259532812
Ptr01,0.115590388
Ptr01,0.177283748
Ptr01,0.11474417
Ptr01,0.15678392
Ptr01,0.198011983
Ptr01,0.116209263
Ptr01,0.130329776
Ptr01,0.279867421
Ptr01,0.132969456
Ptr01,0.140207472
Ptr01,0.133783068
Ptr01,0.206919042
Ptr01,0.101346241
Ptr01,0.161185581
Ptr01,0.207238845
Ptr01,0.123789453
Ptr01,0.137097815
Ptr01,0.180618225
Ptr01,0.201554844
Ptr01,0.24447936
Ptr01,0.335899135
Ptr01,0.208598527
Ptr01,0.192057971
Ptr01,0.378608942
Ptr01,0.216104688
Ptr01,0.185192164
Ptr01,0.103012105
Ptr01,0.184657102
Ptr01,0.144885594
Ptr01,0.16162835
Ptr01,0.102199313
Ptr01,0.460423416
Ptr01,0.195133565
Ptr01,0.07761671
Ptr01,0.160306781
Ptr01,0.170645835
Ptr01,0.197932089
Ptr01,0.172135061
Ptr01,0.100703711
Ptr01,0.195590993
Ptr01,0.194746843
Ptr01,0.167571701
Ptr01,0.275431938
Ptr01,0.104751234
Ptr01,0.13116697
Ptr01,0.19102899
Ptr01,0.109619847
Ptr01,0.22875876
Ptr01,0.101660308
Ptr01,0.15470476
Ptr01,0.240308378
Ptr01,0.209421889
Ptr01,0.213105632
Ptr01,0.239413954
Ptr01,0.131535204
Ptr01,0.373978039
Ptr01,0.186645035
Ptr01,0.213843605
Ptr01,0.126812697
Ptr01,0.175710735
Ptr01,0.145276608
Ptr01,0.241223867
Ptr01,0.12239969
Ptr01,0.244200387
Ptr01,0.160336773
Ptr01,0.075178444
Ptr01,0.140541439
Ptr01,0.142950771
Ptr01,0.171875878
Ptr01,0.1485505
Ptr01,0.229386362
Ptr01,0.153700077
Ptr01,0.122809999
Ptr01,0.156052328
Ptr01,0.18728779
Ptr01,0.188222827
Ptr01,0.121881944
Ptr01,0.170339234
Ptr01,0.204388546
Ptr01,0.184962227
Ptr01,0.083396987
Ptr01,0.215390235
Ptr01,0.191915278
