Cluster,Vessel
Ptr01,0.354523697
Ptr01,0.155713098
Ptr01,0.183154786
Ptr01,0.316326656
Ptr01,0.199332092
Ptr01,0.243469501
Ptr01,0.165608812
Ptr01,0.207698362
Ptr01,0.283111763
Ptr01,0.172479695
Ptr01,0.188081764
Ptr01,0.256101966
Ptr01,0.182986545
Ptr01,0.226259759
Ptr01,0.174227393
Ptr01,0.257174554
Ptr01,0.16534423
Ptr01,0.183396578
Ptr01,0.263649903
Ptr01,0.194423006
Ptr01,0.212044902
Ptr01,0.256221989
Ptr01,0.270304166
Ptr01,0.285897054
Ptr01,0.284137037
Ptr01,0.261486489
Ptr01,0.264231157
Ptr01,0.25078501
Ptr01,0.270074554
Ptr01,0.27993608
Ptr01,0.168490086
Ptr01,0.234128924
Ptr01,0.181477199
Ptr01,0.166873608
Ptr01,0.163696788
Ptr01,0.241991786
Ptr01,0.286487993
Ptr01,0.117497904
Ptr01,0.14878515
Ptr01,0.249854235
Ptr01,0.261879088
Ptr01,0.212011102
Ptr01,0.151599947
Ptr01,0.264552926
Ptr01,0.230753188
Ptr01,0.219541023
Ptr01,0.290959979
Ptr01,0.175526844
Ptr01,0.170570254
Ptr01,0.247372425
Ptr01,0.152420421
Ptr01,0.256942709
Ptr01,0.132565003
Ptr01,0.205144861
Ptr01,0.29637436
Ptr01,0.273211855
Ptr01,0.261653481
Ptr01,0.277508748
Ptr01,0.220553223
Ptr01,0.427794272
Ptr01,0.252479094
Ptr01,0.27700986
Ptr01,0.167178209
Ptr01,0.232344133
Ptr01,0.224407851
Ptr01,0.296947931
Ptr01,0.165527212
Ptr01,0.272721436
Ptr01,0.23650695
Ptr01,0.114407994
Ptr01,0.195877812
Ptr01,0.207370392
Ptr01,0.204817866
Ptr01,0.18850154
Ptr01,0.28742086
Ptr01,0.206456066
Ptr01,0.185647442
Ptr01,0.24174811
Ptr01,0.254175706
Ptr01,0.236754549
Ptr01,0.173976073
Ptr01,0.223367529
Ptr01,0.225080952
Ptr01,0.25056731
Ptr01,0.105940676
Ptr01,0.255444514
Ptr01,0.24521874
Ptr01,0.154948581
Ptr01,0.132586874
Ptr01,0.257480637
Ptr01,0.266692241
Ptr01,0.254054167
Ptr01,0.1900467
Ptr01,0.230792534
Ptr01,0.298682446
Ptr01,0.244632036
Ptr01,0.237698516
Ptr01,0.259772283
Ptr01,0.2387812
Ptr01,0.26329336
Ptr01,0.240549919
Ptr01,0.265434881
Ptr01,0.12320052
Ptr01,0.255559923
Ptr01,0.248789263
Ptr01,0.228684031
Ptr01,0.247856223
Ptr01,0.238940614
Ptr01,0.181629187
Ptr01,0.203176482
Ptr01,0.209150334
Ptr01,0.277809607
Ptr01,0.251280577
Ptr01,0.223312014
Ptr01,0.260299385
Ptr01,0.215764964
Ptr01,0.1988614
Ptr01,0.210683253
Ptr01,0.194936647
Ptr01,0.211841233
Ptr01,0.197870497
Ptr01,0.281651992
Ptr01,0.192107054
Ptr01,0.178532789
Ptr01,0.218808189
Ptr01,0.295503275
Ptr01,0.220952725
Ptr01,0.152995328
Ptr01,0.169653586
Ptr01,0.277850375
Ptr01,0.323226655
Ptr01,0.246565701
Ptr01,0.197526324
Ptr01,0.23804007
Ptr01,0.355199944
Ptr01,0.187885132
Ptr01,0.209290896
Ptr01,0.211896192
Ptr01,0.17667639
Ptr01,0.307323018
Ptr01,0.286512019
Ptr01,0.246775108
Ptr01,0.210312609
Ptr01,0.292439955
Ptr01,0.091012941
Ptr01,0.232060443
Ptr01,0.271378352
Ptr01,0.233538969
Ptr01,0.291852361
Ptr01,0.255004624
Ptr01,0.145228846
Ptr01,0.192860083
Ptr01,0.190201905
Ptr01,0.235764903
Ptr01,0.229414784
Ptr01,0.195795099
Ptr01,0.172501965
Ptr01,0.248459634
Ptr01,0.234418854
Ptr01,0.275694834
Ptr01,0.208036665
Ptr01,0.317707154
Ptr01,0.196676408
Ptr01,0.226229471
Ptr01,0.205658815
Ptr01,0.158760909
Ptr01,0.223838695
Ptr01,0.14621867
Ptr01,0.157494971
Ptr01,0.215951075
Ptr01,0.229765065
Ptr01,0.251740993
Ptr01,0.191681218
Ptr01,0.247140181
Ptr01,0.171113568
Ptr01,0.261671584
Ptr01,0.292909853
Ptr01,0.218362048
Ptr01,0.218339488
Ptr01,0.172667835
Ptr01,0.227446373
Ptr01,0.338429082
Ptr01,0.239387293
Ptr01,0.23067795
Ptr01,0.268023742
Ptr01,0.209568375
Ptr01,0.179363237
Ptr01,0.270533273
Ptr01,0.253496149
Ptr01,0.201977908
Ptr01,0.105276792
Ptr01,0.195921857
Ptr01,0.243169197
Ptr01,0.12222452
Ptr01,0.22607104
Ptr01,0.212765984
Ptr01,0.288764805
Ptr01,0.173148605
Ptr01,0.221315819
Ptr01,0.243916944
Ptr01,0.212042238
Ptr01,0.223942321
Ptr01,0.244737721
Ptr01,0.18566676
Ptr01,0.159786276
Ptr01,0.28698544
Ptr01,0.356924346
Ptr01,0.209118294
Ptr01,0.279435058
Ptr01,0.261528453
Ptr01,0.193539121
Ptr01,0.171179916
Ptr01,0.15807113
Ptr01,0.24355076
Ptr01,0.289287776
Ptr01,0.238396654
Ptr01,0.210875724
Ptr01,0.278904372
Ptr01,0.265954563
Ptr01,0.332796477
Ptr01,0.246790416
Ptr01,0.281635361
Ptr01,0.179554239
Ptr01,0.141159143
Ptr01,0.208039828
Ptr01,0.308149103
Ptr01,0.242204071
Ptr01,0.270142995
Ptr01,0.282310536
Ptr01,0.234593189
Ptr01,0.212760231
Ptr01,0.254416473
Ptr01,0.226117301
Ptr01,0.274017259
Ptr01,0.142540256
Ptr01,0.260348706
Ptr01,0.172905963
Ptr01,0.276302078
Ptr01,0.29367747
Ptr01,0.245310283
Ptr01,0.262348721
Ptr01,0.241175372
Ptr01,0.265599907
Ptr01,0.275154683
Ptr01,0.278593205
Ptr01,0.310589494
Ptr01,0.20895984
Ptr01,0.163694726
Ptr01,0.20065307
Ptr01,0.193063805
Ptr01,0.214671287
Ptr01,0.253233379
Ptr01,0.267702159
Ptr01,0.31322784
Ptr01,0.314930666
Ptr01,0.203824105
Ptr01,0.288003178
Ptr01,0.202422831
Ptr01,0.24099464
Ptr01,0.28767233
Ptr01,0.233858426
Ptr01,0.259622735
Ptr01,0.215021736
Ptr01,0.118361954
Ptr01,0.196635431
Ptr01,0.151654414
Ptr01,0.170441484
Ptr01,0.229000477
Ptr01,0.29790734
Ptr01,0.186888939
Ptr01,0.187907478
Ptr01,0.1787552
Ptr01,0.240897226
Ptr01,0.258856374
Ptr01,0.187025079
Ptr01,0.205943035
Ptr01,0.195960062
Ptr01,0.220972245
Ptr01,0.245374005
Ptr01,0.241629199
Ptr01,0.223540241
Ptr01,0.341689187
Ptr01,0.280710312
Ptr01,0.173730087
Ptr01,0.19419322
Ptr01,0.22477128
Ptr01,0.206978669
Ptr01,0.224382944
Ptr01,0.28136637
Ptr01,0.166597031
