Cluster,Fiber
Ptr01,0.266166018
Ptr01,0.198351817
Ptr01,0.221619618
Ptr01,0.209180868
Ptr01,0.165458211
Ptr01,0.404378029
Ptr01,0.313050652
Ptr01,0.253819461
Ptr01,0.244056435
Ptr01,0.333237205
Ptr01,0.110746459
Ptr01,0.282707628
Ptr01,0.351034605
Ptr01,0.219443256
Ptr01,0.329304633
Ptr01,0.313388397
Ptr01,0.199932072
Ptr01,0.212728672
Ptr01,0.229796872
Ptr01,0.2483503
Ptr01,0.370316021
Ptr01,0.191581302
Ptr01,0.20076455
Ptr01,0.297667931
Ptr01,0.252369382
Ptr01,0.243408138
Ptr01,0.2533014
Ptr01,0.232159004
Ptr01,0.252620008
Ptr01,0.288427005
Ptr01,0.243826333
Ptr01,0.162408556
Ptr01,0.20941717
Ptr01,0.168422713
Ptr01,0.161532894
Ptr01,0.334569013
Ptr01,0.28473447
Ptr01,0.289087224
Ptr01,0.232231876
Ptr01,0.256367019
Ptr01,0.188877356
Ptr01,0.341421617
Ptr01,0.360017076
Ptr01,0.259406568
Ptr01,0.241100985
Ptr01,0.193201221
Ptr01,0.312908759
Ptr01,0.326184718
Ptr01,0.316362819
Ptr01,0.245754995
Ptr01,0.249314626
Ptr01,0.21112157
Ptr01,0.189349848
Ptr01,0.206166913
Ptr01,0.294875806
Ptr01,0.17569029
Ptr01,0.089601079
Ptr01,0.228230481
Ptr01,0.284285453
Ptr01,0.163670508
Ptr01,0.228090576
Ptr01,0.228071402
Ptr01,0.433520407
Ptr01,0.158667158
Ptr01,0.234502363
Ptr01,0.260982066
Ptr01,0.224574715
Ptr01,0.23691803
Ptr01,0.267128061
Ptr01,0.191577787
Ptr01,0.157074061
Ptr01,0.380363475
Ptr01,0.286067252
Ptr01,0.261740047
Ptr01,0.345093818
Ptr01,0.378705314
Ptr01,0.250703699
Ptr01,0.155651798
Ptr01,0.167336209
Ptr01,0.320852895
Ptr01,0.309985594
Ptr01,0.255913471
Ptr01,0.265135263
Ptr01,0.333655314
Ptr01,0.349010557
Ptr01,0.326130312
Ptr01,0.280001113
Ptr01,0.398211582
Ptr01,0.228724616
Ptr01,0.125076995
Ptr01,0.224174939
Ptr01,0.3419731
Ptr01,0.26990587
Ptr01,0.387894388
Ptr01,0.474747159
Ptr01,0.331740964
Ptr01,0.203258449
Ptr01,0.253868093
