Cluster,Expansin A6
#02,0.936019374
#02,0
#01,2.905640968
#06,1.479955472
#01,0
#07,1.199761447
#07,0
#03,0
#10,0
#06,0
#05,0
#02,0
#05,0
#01,0
#02,0
#10,0
#06,0
#03,0
#02,0
#06,0.313636317
#03,0
#06,0.291886866
#07,0.301529145
#06,0
#05,0
#05,0
#02,0
#03,0
#02,1.463344795
#02,0
#02,0.910354654
#07,0
#02,0
#01,0
#02,0
#01,1.400179541
#01,1.081388327
#06,0
#04,0
#01,0
#01,0
#02,0
#01,1.13687435
#04,0
#06,0
#06,0.13943195
#02,0.839870456
#07,0
#04,0
#01,2.716119669
#02,0
#05,0.297473357
#01,3.502829235
#04,0
#05,0
#08,0.857509691
#05,0
#07,0
#06,0
#09,1.269619677
#03,0
#06,1.704068932
#03,0.650432131
#02,0
#04,1.458514165
#04,0
#07,0.922392084
#01,0
#02,0
#01,1.354808925
#06,1.548777397
#01,0.648499395
#04,0.29091241
#01,0
#03,0
#03,0.397373621
#04,0
#01,2.892957407
#03,0.568880445
#01,2.130396637
#01,2.597055573
#02,0
#01,3.648653225
#07,0
#01,0
#01,0.915731083
#01,0
#02,0
#04,0
#02,0
#02,0
#02,0
#03,0
#05,0.15015047
#02,0.421633526
#02,0.586408812
#02,0
#05,0
#03,0
#06,0.185608587
#01,0.812880856
#01,0
#04,0
#01,1.309926997
#02,0
#01,2.225420114
#01,1.200289982
#01,1.579214704
#02,0
#03,0
#06,1.039620978
#04,1.960609269
#04,0
#05,0.207641466
#06,1.077159521
#07,0
#04,0
#01,2.180647212
#05,0
#06,0
#09,1.279928339
#06,0
#06,1.14058126
#05,0
#07,1.214748986
#03,0
#01,1.673457387
#03,1.137267498
#06,0.640064893
#05,0
#07,0
#05,0
#03,0
#03,0
#01,2.424065412
#03,0.188683672
#02,0
#06,1.279447002
#01,2.623544446
#01,0
#04,0.597994176
#01,1.571621765
#01,0.857859752
#08,0
#01,0
#01,3.129602515
#04,0
#04,1.47970074
#02,0.476526269
#09,2.471022855
#03,0
#03,0
#07,0
#05,0
#03,0
#01,0
#04,0
#05,0
#01,0
#07,0
#01,1.220928685
#02,0
#03,0.16080485
#01,1.567855244
#03,0
#02,0.841634404
#04,0.910651633
#06,0
#02,0
#03,0
#01,1.27048671
#04,0
#07,0
#07,0
#02,0
#01,1.704445352
#01,0
#02,0
#02,0
#08,0.185072118
#02,0
#07,0
#01,1.245947149
#06,1.871529154
#07,0.797208219
#02,0
#01,0
#01,0
#04,0.614803707
#05,0.091595558
#04,0
#01,0
#04,0.152550075
#06,0
#01,0
#02,0
#01,0
#07,0
#04,1.121990524
#04,0
#05,0.196884236
#08,0
#02,0
#02,1.353988317
#05,0
#01,1.666799831
#03,0
#07,0.319565192
#03,0
#03,0
#01,0.835866977
#07,0
#01,2.550966474
#02,0
#01,1.243662413
#06,0
#01,1.26337113
#08,1.881023642
#03,0
#02,0
#08,0
#07,0
#02,0.267385398
#02,0
#02,0.579013234
#01,3.001684408
#04,0
#01,0
#02,0
#02,0
#02,0.330291997
#06,0.209697348
#04,0
#01,2.137949557
#05,0
#01,1.540826638
#06,0
#01,1.206136531
#08,0
#05,0.19691115
#03,0.144578175
#02,0
#02,0
#07,0
#03,0.126355987
#01,2.0547006
#02,0
#01,0
#06,0.249186759
#05,0
#06,0
#01,1.312479031
#04,0
#04,0
#05,0
#05,0
#08,2.450032921
#01,0
#01,0
#01,2.744606109
#04,0
#02,0
#01,2.74723393
#01,0.892894592
#03,0
#04,0.935862178
#06,0
#03,0.949260009
#05,0.30938254
#04,0
#07,0
#04,0.670202329
#03,0
#03,0
#07,0
#05,0.341280072
#01,2.037589583
#01,2.68589141
#02,0
#03,0
#01,1.938421751
#03,0
#01,1.251698172
#03,0
#03,0
#04,0.392532228
#01,0
#07,0
#03,0
#01,0.824814577
#02,0
#02,0
#02,0
#01,0
#07,0
#03,0.186921032
#04,0
#07,0
#05,0
#01,0
#01,1.911665101
#06,0.167145982
#01,1.003136033
#02,0
#01,0
#06,0
#07,0
#01,0
#01,2.68589141
#06,0
#01,0
#01,1.22569946
#07,0
#01,1.114700949
#02,0
#01,1.584001345
#04,0
#05,0
#08,1.170927778
#06,1.211144695
#03,0
#08,2.489288831
#06,1.257146819
#04,0
#06,0.205156928
#08,0
#05,0
#02,0
#07,0.767858743
#03,0
#06,0
#01,0.807973706
#04,0
#06,2.012533407
#02,0
#02,0
#01,3.078744666
#02,0
#02,0
#02,1.822634752
#04,0.127948288
#06,1.766733745
#05,0.572340554
#01,0
#03,0
#03,0
#02,0
#01,0
#02,0
#05,0
#06,1.470613185
#04,2.94069229
#01,1.13640295
#02,0
#07,0
#02,0
#01,1.141611068
#07,0
#06,0
#06,0
#02,1.021761631
#01,0
#01,0
#01,2.430923914
#02,0
#02,0
#03,0.212906002
#02,0
#02,0
#08,2.322767848
#05,1.260431248
#07,0
#03,0
#01,0.934763336
#02,0.961008987
#05,0
#04,0
#01,1.669707517
#08,2.505673591
#03,2.010023728
#03,0
#08,0
#04,0.729729252
#03,0
#01,0
#04,0
#03,0
#01,0
#07,0
#07,0.591037015
#02,1.312661726
#01,1.23686123
#05,0
#03,0
#04,0
#05,0
#03,1.309117207
#07,0
#02,0
#01,0
#07,0
#08,0
#01,0
#02,0.1889559
#03,1.182591413
#03,0
#01,3.470726262
#07,0
#07,0
#03,0
#01,1.644040156
#01,0
#02,0
#03,0.595823084
#08,0.606065356
#03,0
#01,0
#03,0
#01,1.281321492
#02,0
#01,0
#02,0
#02,0
#05,0
#03,0.07920618
#06,1.589787572
#05,0
#03,0.139783474
#05,0
#06,0.463751093
#05,0
#01,0
#01,1.081388327
#04,0
#03,0
#01,0
#01,0.839870456
#03,0
#05,0
#07,0
#05,0
#01,0.260274541
#08,1.583041468
#02,0.306479696
#01,0.783666786
#07,0
#06,0.692013017
#07,0
#05,0.112565458
#02,1.114550139
#07,0
#02,0
#01,0
#03,0
#04,0.500387739
#06,0.145924691
#08,0
#04,0
#05,0
#02,0
#05,0
#02,0
#01,0
#01,0
#03,1.105431001
#07,0
#01,0
#04,0.311731341
#06,0.114532466
#06,1.371232128
#07,0
#02,0
#07,0
#07,0
#05,0
#06,0.500387739
#01,0.52953011
#06,0
#02,0
#05,0
#05,0.200753295
#02,0
#07,0
#05,0
#02,0
#01,0.531800255
#02,0
#05,0
#06,2.424065412
#01,0.458352161
#04,0
#08,0
#01,2.095358172
#03,0.14719126
#02,1.147350226
#01,1.095157233
#06,0.287787628
#02,0
#02,0
#04,0.815949394
#03,0.152614685
#03,0.165419227
#05,0
#03,0
#01,2.195332562
#05,0
#08,0
#03,0
#01,1.94753258
#03,0
#08,1.044796852
#03,0
#01,0
#02,0.882189391
#08,1.008551216
#02,0
#01,0.708509877
#07,0
#06,0.545393222
#07,1.193457178
#09,1.292767519
#01,1.29359344
#03,0.194518032
#02,0
#02,0
#03,0.958627268
#04,0
#07,0
#07,0
#02,0
#01,0
#08,0
#02,0
#03,1.616914463
#10,0
#01,0.720058818
#01,0
#02,0
#01,3.11483928
#01,1.981163358
#01,0
#01,0.716408711
#04,0.689686407
#08,0.734282579
#02,0
#05,0
#01,0
#04,0.191760363
#03,0.587377054
#04,0.508826756
#05,0
#06,0
#03,1.014646776
#06,2.186552594
#03,0
#07,0
#07,0.481177836
#01,1.199761447
#01,2.058741418
#03,0.190153069
#03,0
#07,0
#01,0
#02,0
#05,0
#01,2.690315501
#01,0
#02,0
#08,0
#02,0
#01,2.875611847
#03,0
#06,0
#05,0.129639519
#01,1.089951072
#03,0
#03,0.120254103
#05,0.259102773
#01,1.23686123
#06,0.965905306
#02,0
#05,0
#06,1.269195651
#06,1.634617487
