Cluster,Ray scUPlcmUP
#01,1.375686499
#02,1.295381307
#05,3.092040923
#03,3.957315065
#03,2.573647059
#02,2.956688761
#07,0
#01,1.053298226
#01,0
#01,0
#07,0.531701144
#03,0.816508054
#06,0.831964681
#01,4.178627548
#06,1.300926941
#03,2.534868933
#03,3.219220287
#03,0.28085551
#05,0.882503205
#02,1.024788549
#03,2.062532998
#09,0.709220604
#03,2.328964919
#03,3.224116213
#01,0.793386391
#01,1.806624017
#07,0.493985355
#02,1.069634188
#04,2.998048262
#01,1.404302253
#03,1.906035145
#06,2.496281082
#01,0.695618563
#03,1.875172654
#06,2.547590873
#06,0.798944168
#04,0.645842499
#07,0
#03,2.312756216
#01,1.595773163
#07,1.252855149
#04,1.006062618
#04,1.478079347
#06,1.180290143
#03,2.414405268
#06,0.796571023
#06,2.174143076
#05,1.847637702
#02,1.569641823
#01,2.493681919
#07,0.498119241
#02,0.463851355
#02,0
#07,0
#02,1.494357722
#05,5
#01,0
#07,1.320491297
#01,0
#02,0.49968752
#07,0
#02,0
#02,1.099480055
#06,0.514323702
#03,1.972395442
#01,1.582082869
#01,0
#03,1.317214651
#02,0.421509459
#02,2.827558682
#07,1.137215776
#01,0.874469118
#08,5
#06,0.621669595
#01,1.797960888
#03,1.863990425
#06,1.455157019
#07,0
#07,0
#05,0.552939147
#01,1.276481841
#01,1.082663752
#05,1.261899369
#02,0.662433927
#01,0
#04,1.241386551
#04,0
#04,0
#05,2.645472223
#01,0
#07,0
#01,0
#06,0.734218989
#04,2.514719832
#02,0.407368278
#02,0.870119717
#02,0.866886801
#01,2.438208452
#03,1.522393573
#05,0.83372199
#02,1.935846587
#05,1.377078662
#01,1.728367356
#01,1.684379867
#06,1.634251144
#03,5
#02,1.627876662
#02,2.804813199
#01,1.391424942
#06,0.941564553
#01,0.958580073
#07,0
#07,0
#03,1.758523586
#10,0
#06,0.326537933
#05,0.930572024
#02,0.333203583
#05,0
#01,0.771643556
#02,1.207669024
#10,1.638845342
#06,2.362818526
#03,0.904231319
#02,4.69037749
#06,0.583907566
#03,1.230024317
#06,0.933988563
#07,0.603058291
#06,0
#05,1.173128402
#05,2.28001305
#02,0.488747185
#03,1.347837388
#02,2.174706333
#02,1.977280268
#02,2.483980578
#07,0
#02,0.883303775
#01,0
#02,4.117392781
#01,0
#01,0
#06,0.783230779
#04,0
#01,0
#01,1.646128296
#02,3.503950946
#01,1.13687435
#04,3.102484189
#06,1.689543451
#06,2.337550287
#02,0.960415876
#07,1.567855244
#04,5
#01,1.258674287
#02,1.851076614
#05,0
#01,0.8963311
#04,2.275070555
#05,1.260244794
#08,3.401111725
#05,2.070517732
#07,0
#06,0
#09,1.881031842
#03,2.060138057
#06,0.493485556
#03,1.10729052
#02,2.332260012
#04,0
#04,0.464022077
#07,0
#01,0.41491731
#02,2.079713735
#01,0
#06,0.576858842
#01,1.094285925
#04,1.647610719
#01,5
#03,2.640156789
#03,2.10118989
#04,0
#01,1.504135917
#03,3.909031674
#01,1.427171255
#01,0
#02,1.023651268
#01,4.545530662
#07,0
#01,0
#01,0
#01,2.708896269
#02,1.038632021
#04,1.221878229
#02,1.160859692
#02,2.395423455
#02,5
#03,0
#05,1.146989318
#02,0.747504809
#02,5
#02,0.912029287
#05,0.731240606
#03,0.51230958
#06,0.191574299
#01,0.46295057
#01,0
#04,3.894631003
#01,2.146621137
#02,0.612155464
#01,0
#01,1.921819495
#01,0
#02,0.59724083
#03,5
#06,0.357648352
#04,0.784977795
#04,3.629713247
#05,0.389123498
#06,1.714017465
#07,0
#04,1.142643767
#01,0
#05,1.009446701
#06,0.235026703
#09,1.860427912
#06,1.047519462
#06,1.544880668
#05,0
#07,0
#03,0.672186171
#01,0.790711166
#03,1.385671227
#06,1.291613391
#05,1.135438326
#07,0
#05,5
#03,3.160399581
#03,2.98509613
#01,1.556211338
#03,3.858448336
#02,1.696951937
#06,0.779221927
#01,2.224311382
#01,1.694718185
#04,0
#01,0
#01,0.857859752
#08,5
#01,1.43486972
#01,0.8963311
#04,1.693797776
#04,0
#02,0
#09,0.488906165
#03,3.961400886
#03,2.074953235
#07,1.079692642
#05,2.841247798
#03,2.19404245
#01,1.82559404
#04,0
#05,0.811428969
#01,1.103038308
#07,0
#01,0
#02,5
#03,0.829426079
#01,2.301374909
#03,0.732420428
#02,1.322974274
#04,1.484351497
#06,0.940443155
#02,3.298875146
#03,2.872104718
#01,0
#04,0.636857945
#07,2.005788147
#07,0.458499058
#02,1.677038429
#01,0.809835912
#01,0
#02,5
#02,1.291817241
#08,5
#02,0.604347842
#07,0
#01,1.789192948
#06,0.765356574
#07,0
#02,1.304030819
#01,1.382787334
#01,1.252855149
#04,0
#05,5
#04,3.567284523
#01,0.67473445
#04,1.176603072
#06,0.813926814
#01,0
#02,5
#01,2.391101618
#07,0
#04,0
#04,0.998200006
#05,0.590652708
#08,5
#02,1.081698249
#02,2.124149879
#05,1.034952527
#01,0.626461369
#03,0.454565863
#07,0.900587369
#03,1.074226386
#03,2.050917698
#01,0
#07,0
#01,1.147350226
#02,5
#01,0
#06,0.661245532
#01,1.26337113
#08,5
#03,2.669542663
#02,0
#08,4.625984896
#07,0
#02,2.94010323
#02,3.343910051
#02,0
#01,0
#04,1.745758377
#01,0
#02,0
#02,3.626628955
#02,3.167280979
#06,0.419394697
#04,2.622573439
#01,0.887790496
#05,0.207761281
#01,0
#06,0.589323295
#01,0
#08,5
#05,1.456231258
#03,1.75918925
#02,5
#02,5
#07,0
#03,3.243489678
#01,0
#02,1.904919779
#01,1.189293063
#06,1.105106326
#05,1.171503257
#06,0.282304372
#01,0.800611912
#04,0.85576379
#04,2.246022825
#05,2.243752462
#05,2.579460439
#08,5
#01,0
#01,5
#01,0
#04,0
#02,1.325400287
#01,0
#01,0
#03,2.181710604
#04,2.126275156
#06,0.865564582
#03,1.998229486
#05,2.367530957
#04,1.464962725
#07,0
#04,1.724923529
#03,1.865425614
#03,0.496996625
#07,0
#05,0.682560144
#01,0
#01,3.13928269
#02,0.867532196
#03,2.424231394
#01,0
#03,1.220395532
#01,1.619095186
#03,0.794394391
#03,1.628715584
#04,0.602107514
#01,0
#07,0
#03,3.242968068
#01,1.411700187
#02,1.6369659
#02,2.833941381
#02,0.421385465
#01,0
#07,0
#03,1.635716313
#04,1.661322431
#07,0.416364226
#05,1.944269163
#01,1.46658454
#01,0
#06,0.818359945
#01,0
#02,0
#01,5
#06,0
#07,1.791512909
#01,5
#01,1.237989276
