Cluster,HD ZIP III
#03,2.10622117
#02,0.27364177
#07,0
#03,1.26989049
#06,1.467164704
#07,0
#02,1.076317908
#02,0.359662518
#01,0
#02,1.124644932
#03,2.07975656
#04,0
#01,2.225963254
#06,3.11005674
#06,1.638590978
#02,0
#07,0
#03,1.033240364
#01,0
#02,1.614406279
#03,1.430239906
#03,1.636052291
#01,0
#08,2.697647341
#04,0
#02,1.044714583
#02,0
#05,2.790982401
#07,0
#01,0
#01,0
#01,0
#07,0.858172
#06,1.091392021
#02,0.540465937
#01,2.476626167
#07,0.428106915
#01,0
#03,1.607230372
#07,0
#02,2.447567649
#08,2.498950344
#04,0.252376947
#02,0.358047521
#05,0.246814927
#03,1.39818135
#05,0
#09,0.369098122
#02,0
#01,0
#01,0
#03,2.112473586
#06,1.256589442
#05,2.898715101
#01,0
#06,0
#01,1.480931969
#01,0
#01,0
#06,2.008121763
#04,0.808743227
#02,0.584242054
#01,1.699077319
#03,1.332755781
#01,0.780192591
#05,0.65903411
#03,0.991893611
#02,1.505800792
#01,0
#02,0.496560871
#05,1.408788277
#01,2.189980654
#02,2.688566977
#05,3.368242373
#03,1.978862745
#03,1.463509092
#02,0
#07,0
#01,2.106596452
#01,0
#01,0
#07,0
#03,2.430171448
#06,2.17511927
#01,1.392875849
#06,1.970163455
#03,2.315702553
#03,2.131653798
#03,0.515843847
#05,0
#02,0.601535434
#03,0.640074917
#09,0.709220604
#03,0.77632164
#03,1.051477881
#01,0.793386391
#01,1.927956436
#07,0.493985355
#02,0
#04,3.439844594
#01,0.82292409
#03,1.146621886
#06,1.700919548
#01,0.695618563
#03,1.672674136
#06,1.588129119
#06,2.968855159
#04,0.645842499
#07,1.517123172
#03,1.832499347
#01,1.595773163
#07,1.252855149
#04,0.503031309
#04,0.430297053
#06,1.359996939
#03,1.31147437
#06,1.412153838
#06,2.195551556
#05,0
#02,0.7381216
#01,1.586165689
#07,0.498119241
#02,0
#02,1.616801909
#07,0
#02,1.992476963
#05,0.896818822
#01,0
#07,0.480369314
#01,0
#02,0
#07,1.060584458
#02,0.575269634
#02,1.496578503
#06,0.589506426
#03,3.326724667
#01,0
#01,0
#03,2.387455305
#02,0.421509459
#02,0.319920966
#07,0.568607888
#01,0
#08,1.036265092
#06,0.93770207
#01,0.670900427
#03,1.238215881
#06,1.520774271
#07,0.315842258
#07,0
#05,1.737841323
#01,0
#01,1.281189094
#05,0.432455057
#02,1.324867853
#01,2.09716592
